"","營利事業家數及銷售額－第6次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺中市(改制前)","臺中縣(改制前)","臺南市(改制後)","臺南市(改制前)","臺南縣(改制前)","高雄市(改制後)","高雄市(改制前)","高雄縣(改制前)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺中市(改制前)","臺中縣(改制前)","臺南市(改制後)","臺南市(改制前)","臺南縣(改制前)","高雄市(改制後)","高雄市(改制前)","高雄縣(改制前)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"97年 1月/ <b>總計</b>","184,142","196,162","86,351","149,248","67,717","81,531","94,283","46,583","47,700","142,443","89,226","53,217","24,896","20,495","23,817","63,324","22,323","26,224","18,727","33,653","10,690","17,603","5,583","16,963","22,019","16,255","10,150","838","75,060,024","138,500,884","36,968,947","33,566,984","12,584,484","20,982,500","36,572,106","7,646,241","28,925,865","59,928,596","33,815,410","26,113,186","2,522,798","11,221,543","2,857,651","25,598,482","4,921,425","40,920,087","5,575,845","3,606,523","505,252","707,396","257,180","3,233,903","50,748,627","1,116,084","476,358","34,842"
"97年 2月/ <b>總計</b>","184,175","196,012","86,337","149,180","67,655","81,525","94,221","46,573","47,648","142,350","89,143","53,207","24,897","20,510","23,780","63,314","22,302","26,181","18,705","33,618","10,667","17,577","5,586","16,959","22,036","16,189","10,215","830","569,676,759","1,778,192,257","463,246,461","455,862,114","228,886,142","226,975,973","352,594,784","110,241,476","242,353,308","542,452,159","333,534,107","208,918,052","33,733,190","123,864,959","80,974,886","157,787,831","30,678,198","242,507,430","32,676,781","44,305,617","8,101,038","23,497,692","2,966,948","23,244,060","220,021,144","30,190,576","5,350,080","403,224"
"97年 3月/ <b>總計</b>","184,276","195,722","86,499","149,237","67,693","81,544","94,229","46,625","47,604","142,284","89,054","53,230","24,849","20,543","23,794","63,342","22,300","26,192","18,675","33,668","10,668","17,578","5,602","16,947","22,050","16,154","10,219","831","62,010,181","150,588,370","37,779,318","33,395,579","12,366,737","21,028,842","38,318,856","7,778,004","30,540,852","60,283,550","31,352,977","28,930,572","2,750,834","9,603,720","2,994,705","29,070,241","4,939,740","42,689,055","5,781,141","3,510,325","733,020","738,948","269,160","5,933,927","98,072,896","1,145,084","470,279","42,963"
"97年 4月/ <b>總計</b>","184,498","195,829","86,738","149,524","67,820","81,704","94,302","46,632","47,670","142,264","89,040","53,224","24,859","20,581","23,842","63,391","22,277","26,185","18,719","33,593","10,688","17,570","5,600","16,927","22,070","16,043","10,243","835","618,631,317","1,935,061,753","476,559,722","505,297,826","248,931,355","256,366,472","387,305,201","108,238,390","279,066,811","606,459,926","363,892,674","242,567,252","33,776,991","190,873,798","88,414,023","177,249,198","33,098,481","229,962,909","36,495,299","47,957,920","7,686,472","22,996,924","3,807,921","24,687,088","230,261,376","29,902,795","4,680,876","677,881"
"97年 5月/ <b>總計</b>","184,662","195,884","86,787","149,715","67,914","81,801","94,376","46,690","47,686","142,171","89,023","53,148","24,852","20,619","23,844","63,443","22,255","26,168","18,750","33,577","10,670","17,519","5,619","16,869","22,085","15,975","10,246","837","62,177,411","142,815,081","42,375,461","32,119,386","12,510,901","19,608,485","36,418,490","8,099,063","28,319,426","73,828,073","42,241,285","31,586,788","2,949,218","10,841,952","3,835,344","27,974,559","4,717,023","38,475,246","5,780,265","4,917,176","511,444","704,240","256,184","3,199,229","41,508,453","1,142,790","473,071","34,792"
"97年 6月/ <b>總計</b>","184,849","195,916","86,785","149,796","67,932","81,864","94,290","46,703","47,587","142,355","89,151","53,204","24,857","20,654","23,853","63,443","22,235","26,196","18,757","33,532","10,681","17,560","5,629","16,803","22,094","15,916","10,256","836","619,932,188","1,844,806,593","484,511,320","537,072,429","276,842,142","260,230,287","371,469,805","108,359,600","263,110,205","630,662,729","385,540,414","245,122,314","36,321,821","134,852,375","87,358,831","179,099,154","33,164,426","288,452,654","37,721,361","48,853,956","8,223,569","24,186,093","4,381,536","25,906,033","230,148,492","32,510,834","5,282,295","629,202"
"97年 7月/ <b>總計</b>","184,529","195,727","86,830","149,920","67,994","81,926","94,215","46,648","47,567","142,357","89,127","53,230","24,691","20,641","23,858","63,369","22,227","26,174","18,732","33,522","10,668","17,533","5,635","16,793","22,126","15,866","10,324","834","73,581,735","129,178,805","48,555,384","32,231,049","12,551,858","19,679,191","36,825,492","8,476,552","28,348,940","60,048,528","31,689,701","28,358,828","2,555,573","9,801,909","3,723,558","28,266,434","4,547,405","39,856,911","5,935,243","3,376,103","528,028","679,140","256,792","2,847,707","45,898,636","1,281,065","484,594","35,050"
"97年 8月/ <b>總計</b>","184,334","195,616","86,957","150,060","68,114","81,946","94,221","46,654","47,567","142,429","89,203","53,226","24,618","20,689","23,831","63,361","22,182","26,163","18,733","33,489","10,657","17,460","5,640","16,799","22,092","15,873","10,328","834","610,626,801","1,812,556,456","490,409,937","494,256,221","238,288,127","255,968,094","360,687,962","104,652,725","256,035,238","619,070,739","388,529,496","230,541,243","35,263,863","137,718,821","86,373,554","170,686,996","32,757,151","282,345,461","36,883,970","46,540,699","8,359,852","25,447,947","4,430,449","26,312,007","224,642,920","30,505,943","4,871,346","584,577"
"97年 9月/ <b>總計</b>","184,028","195,139","86,968","150,008","68,137","81,871","94,129","46,609","47,520","142,302","89,142","53,160","24,524","20,700","23,825","63,332","22,131","26,184","18,697","33,450","10,651","17,407","5,644","16,771","22,066","15,872","10,333","832","64,372,359","120,707,637","44,302,670","30,542,220","11,354,282","19,187,937","36,231,592","8,399,035","27,832,557","53,725,371","30,025,999","23,699,372","2,373,059","9,700,241","3,033,497","24,474,854","4,291,749","33,094,591","4,969,727","3,362,231","538,061","686,479","253,347","3,155,245","44,471,669","1,170,674","479,705","35,018"
"97年 10月/ <b>總計</b>","183,976","194,965","86,944","150,074","68,180","81,894","94,137","46,603","47,534","142,356","89,166","53,190","24,472","20,726","23,812","63,286","22,127","26,168","18,716","33,370","10,630","17,379","5,626","16,777","22,058","15,824","7,730","831","586,584,602","1,773,334,049","453,238,706","468,849,525","233,862,170","234,987,355","338,803,569","101,475,364","237,328,205","578,593,994","376,841,637","201,752,357","32,344,502","133,099,420","80,934,137","158,173,120","31,263,034","194,682,235","33,686,635","43,569,637","7,781,599","23,484,437","3,718,264","26,043,376","204,749,531","29,140,851","5,068,629","629,303"
