"","營利事業家數及銷售額－第5次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"92年 10月/ <b>總計</b>","166,206","192,959","75,322","134,244","84,959","128,736","23,509","17,206","23,015","58,844","20,716","25,208","17,780","35,073","10,838","17,240","5,308","16,782","20,312","15,228","10,288","852","606,355,718","1,598,435,808","385,668,694","349,329,929","240,860,622","435,815,214","31,168,706","100,986,822","63,862,993","123,103,476","28,355,487","104,907,528","33,134,033","35,494,828","7,311,174","22,084,874","2,909,833","24,118,452","148,574,203","27,153,381","3,392,724","591,099"
"92年 11月/ <b>總計</b>","166,910","193,453","75,604","135,982","85,863","130,182","23,401","17,337","23,157","59,502","20,976","25,207","17,908","35,595","10,862","17,300","5,334","16,844","20,371","15,312","10,307","873","111,209,232","138,319,466","34,459,226","26,800,778","16,592,786","39,878,578","1,514,628","15,347,132","2,638,976","9,091,464","4,419,026","3,698,018","1,783,525","3,153,829","545,062","754,672","197,231","2,429,063","35,166,170","1,022,122","423,755","41,427"
"92年 12月/ <b>總計</b>","166,902","193,403","75,711","136,011","85,878","130,535","23,389","17,353","23,075","59,413","21,003","25,209","17,898","35,670","10,845","17,330","5,331","16,825","20,314","15,345","10,309","880","647,177,190","1,827,284,359","412,573,002","388,422,110","262,934,835","488,278,380","30,817,595","100,344,615","74,779,195","139,427,141","32,180,081","118,536,980","31,861,012","37,270,493","7,984,250","22,859,893","3,579,225","26,867,203","169,135,103","29,129,117","4,975,755","791,751"
"93年/ <b>總計</b>","174,600","195,325","79,516","140,103","89,212","136,330","23,995","18,214","23,310","60,610","21,361","25,565","18,115","36,103","11,130","17,775","5,448","16,918","20,814","15,683","10,142","898","4,387,357,948","11,708,508,239","2,706,326,350","2,493,464,705","1,791,407,748","3,293,488,015","189,081,468","724,233,242","496,877,972","910,134,291","204,923,248","832,799,192","204,291,062","248,382,563","49,484,233","138,701,631","19,612,993","177,560,394","1,218,551,304","176,371,682","27,439,648","3,923,417"
"93年 1月/ <b>總計</b>","166,845","193,420","75,759","136,318","85,864","130,728","23,379","17,405","23,004","59,394","21,039","25,215","17,888","35,704","10,829","17,354","5,322","16,684","20,301","15,387","10,304","876","90,697,449","121,395,850","29,817,060","22,547,677","13,982,078","44,631,926","1,271,898","12,927,106","2,941,783","7,940,501","3,817,651","3,018,238","2,020,910","3,401,243","459,610","696,779","197,364","3,212,579","27,737,429","930,364","481,710","48,614"
"93年 2月/ <b>總計</b>","166,845","193,420","75,759","136,318","85,968","130,881","23,379","17,405","23,004","59,394","21,039","25,215","17,936","35,767","10,849","17,354","5,346","16,684","20,301","15,382","10,304","876","545,049,536","1,549,378,004","369,365,591","336,574,760","241,016,714","430,801,038","25,967,028","93,081,417","75,114,047","123,759,038","26,366,538","112,480,565","28,380,276","33,979,924","7,029,445","19,815,561","2,614,411","23,412,583","145,704,522","26,323,971","3,453,549","452,742"
"93年 3月/ <b>總計</b>","167,773","193,615","76,093","136,617","85,968","131,210","23,434","17,553","22,935","59,446","21,114","25,296","17,936","35,767","10,849","17,425","5,346","16,716","20,383","15,382","10,281","874","124,203,279","145,585,736","29,559,916","29,593,881","18,211,589","45,762,155","1,275,784","15,221,845","3,444,459","9,957,035","5,235,716","3,885,081","2,179,627","3,128,990","453,188","721,947","198,260","2,609,781","33,083,666","958,405","401,756","35,191"
"93年 4月/ <b>總計</b>","168,263","194,155","76,463","137,000","86,212","131,628","23,485","17,631","22,923","59,495","21,170","25,348","17,957","35,785","10,870","17,447","5,359","16,758","20,442","15,429","10,241","877","618,791,896","1,741,793,050","403,225,957","384,252,626","279,059,559","499,324,465","28,484,269","108,828,825","80,664,513","144,193,282","29,599,478","121,720,967","32,572,690","37,308,413","7,167,810","21,041,021","2,881,476","25,969,022","165,303,760","27,422,375","3,943,367","701,950"
"93年 5月/ <b>總計</b>","168,957","194,643","77,025","137,215","86,453","132,364","23,583","17,677","22,996","59,515","21,194","25,379","17,913","35,776","10,898","17,482","5,377","16,788","20,455","15,439","10,211","882","99,259,119","144,684,168","32,317,621","29,130,145","18,122,658","43,960,426","1,603,329","13,844,653","3,270,860","9,522,864","5,155,315","3,856,640","1,668,186","3,436,271","525,847","753,773","199,573","2,536,843","34,846,994","1,102,574","398,980","36,845"
"93年 6月/ <b>總計</b>","170,465","195,243","77,354","137,574","86,673","132,941","23,671","17,717","23,022","59,595","21,211","25,415","17,925","35,793","10,934","17,491","5,394","16,827","20,545","15,470","10,203","890","606,535,546","1,697,989,625","434,592,773","387,124,055","277,990,384","481,234,662","29,678,416","108,958,112","84,053,185","141,007,016","29,364,952","127,223,280","32,142,259","37,769,463","7,848,523","21,526,327","2,927,527","28,183,034","172,146,232","27,717,829","4,064,893","541,366"
