"","營利事業家數及銷售額－第5次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"95年 11月/ <b>總計</b>","184,233","197,841","85,345","148,756","94,748","143,123","24,958","20,067","24,031","63,488","22,580","26,366","19,136","34,563","10,874","17,984","5,527","17,159","21,927","16,679","9,941","857","73,799,285","144,566,063","39,546,646","38,808,801","31,341,859","56,201,837","3,279,673","12,264,979","3,063,382","24,367,675","5,445,454","24,872,098","5,668,706","3,177,800","497,552","729,360","274,345","5,252,114","40,786,172","1,097,550","477,922","34,357"
"95年 12月/ <b>總計</b>","184,605","197,754","85,447","148,867","94,685","143,065","24,971","20,086","24,075","63,425","22,593","26,330","19,058","34,009","10,849","17,952","5,537","17,166","21,920","16,665","9,962","857","647,289,253","2,270,145,392","472,728,708","479,683,085","351,669,936","617,755,566","33,295,645","123,447,309","78,581,149","164,800,458","33,809,762","175,056,741","33,221,662","43,279,978","9,627,902","25,971,078","3,922,774","29,313,519","220,570,823","30,829,057","5,354,025","745,844"
"96年/ <b>總計</b>","184,590","196,736","86,319","149,474","94,365","142,635","24,937","20,504","23,844","63,373","22,319","26,274","18,695","33,702","10,695","17,617","5,582","17,004","22,016","16,264","10,145","839","4,077,630,403","12,694,160,402","3,062,974,192","2,976,045,706","2,291,024,241","3,835,807,571","213,198,753","874,978,861","512,173,024","1,133,195,246","227,470,354","1,403,313,837","237,479,961","292,437,119","51,810,044","150,396,687","21,974,676","173,817,138","1,610,819,341","190,988,827","31,085,824","3,919,664"
"96年 1月/ <b>總計</b>","184,050","197,182","85,193","148,469","94,267","142,832","24,868","20,052","23,962","63,294","22,544","26,286","18,844","33,905","10,803","17,885","5,523","17,093","21,859","16,557","9,955","852","70,070,471","149,030,675","37,071,746","29,354,781","28,848,240","89,488,510","2,288,321","11,233,394","2,835,166","21,271,067","4,880,196","25,264,934","5,552,370","3,583,221","495,672","701,643","245,061","3,004,598","40,143,988","2,639,939","470,715","34,669"
"96年 2月/ <b>總計</b>","183,971","196,973","85,138","148,532","94,231","142,697","24,856","20,084","23,941","63,249","22,483","26,268","18,745","33,852","10,814","17,860","5,538","17,052","21,836","16,479","9,971","853","531,947,896","1,733,901,968","402,496,154","396,944,322","300,515,313","504,397,138","29,166,637","109,070,632","74,324,372","137,380,148","28,928,121","160,873,764","29,519,368","38,290,674","7,720,509","22,522,930","2,989,322","23,869,928","183,335,683","27,672,002","5,246,603","474,918"
"96年 3月/ <b>總計</b>","183,966","196,860","85,164","148,481","93,915","142,083","24,823","20,112","23,898","63,328","22,473","26,264","18,668","33,877","10,791","17,817","5,525","16,994","21,842","16,433","9,955","842","72,913,457","144,733,043","45,495,360","32,827,583","33,927,792","61,129,749","2,557,876","12,347,502","3,066,875","25,562,613","5,286,047","27,995,658","5,643,237","3,214,888","561,957","698,810","258,116","2,463,088","36,690,176","1,303,022","461,394","36,166"
"96年 4月/ <b>總計</b>","184,036","197,093","85,315","148,748","93,916","142,109","24,882","20,203","23,876","63,435","22,440","26,253","18,710","33,875","10,780","17,820","5,548","16,990","21,845","16,414","9,973","838","587,034,636","1,942,817,159","441,758,291","448,403,873","336,331,198","561,410,774","31,697,384","129,604,070","80,801,935","167,082,385","32,386,377","166,489,114","34,404,012","44,306,494","7,205,805","22,318,142","2,990,449","23,322,557","214,143,360","28,841,526","4,158,287","516,525"
"96年 5月/ <b>總計</b>","184,228","197,135","85,436","148,896","93,940","142,309","24,850","20,217","23,903","63,421","22,409","26,237","18,676","33,838","10,779","17,771","5,572","17,008","21,867","16,432","10,083","832","72,209,657","142,821,174","37,105,296","33,671,184","34,245,794","61,421,258","2,807,131","13,068,418","3,292,120","24,128,147","5,258,254","33,143,326","5,957,691","5,488,933","524,716","700,601","237,377","4,054,737","36,960,507","1,398,998","467,801","34,289"
"96年 6月/ <b>總計</b>","184,441","197,229","85,526","149,050","94,087","142,332","24,957","20,262","23,898","63,511","22,357","26,242","18,692","33,786","10,769","17,740","5,577","16,987","21,910","16,410","10,077","823","612,522,041","2,014,469,970","470,909,809","453,427,235","354,633,871","564,316,231","32,814,273","127,874,802","79,423,278","161,160,685","32,521,034","194,288,688","34,002,790","45,989,719","7,987,067","23,953,328","3,238,781","27,906,535","210,447,309","30,031,871","4,475,407","555,717"
"96年 7月/ <b>總計</b>","184,496","197,055","85,572","149,091","94,244","142,266","24,959","20,329","23,890","63,467","22,347","26,232","18,705","33,723","10,760","17,689","5,583","16,977","21,968","16,379","10,112","824","69,361,390","143,899,468","37,429,553","31,969,821","31,932,378","58,372,233","3,516,109","12,059,188","3,010,056","24,753,519","5,227,604","38,141,207","5,737,736","3,597,957","542,178","723,497","252,578","3,067,178","41,998,400","1,527,831","476,405","33,775"
"96年 8月/ <b>總計</b>","184,716","197,003","85,820","149,272","94,245","142,393","24,975","20,355","23,891","63,614","22,321","26,280","18,710","33,732","10,755","17,640","5,592","16,922","22,004","16,362","10,172","833","639,142,638","1,994,371,219","492,440,583","477,188,040","357,154,234","563,053,914","33,386,643","142,575,433","84,092,274","169,062,401","33,543,705","213,407,780","34,904,413","45,892,788","8,449,473","25,932,199","3,756,374","27,110,327","240,856,347","30,711,352","4,451,296","620,461"
"96年 9月/ <b>總計</b>","184,763","196,816","85,942","149,313","94,329","142,301","24,945","20,364","23,879","63,512","22,266","26,230","18,713","33,685","10,735","17,635","5,591","16,951","22,013","16,304","10,159","839","69,219,144","142,313,487","37,698,930","29,721,289","31,730,513","56,261,756","2,496,477","16,439,965","2,712,649","26,010,774","4,919,586","33,328,753","5,786,397","3,440,112","587,387","749,212","269,494","2,626,483","47,171,822","1,251,496","475,010","34,662"
"96年 10月/ <b>總計</b>","184,803","196,867","86,176","149,409","94,376","142,345","24,948","20,420","23,864","63,453","22,291","26,226","18,740","33,690","10,727","17,625","5,580","16,957","22,012","16,306","10,156","841","616,945,012","1,927,628,285","494,007,580","483,744,907","365,518,409","564,301,377","32,753,328","139,003,757","83,985,343","165,424,912","33,069,748","222,093,986","34,068,175","45,753,880","7,997,757","24,218,053","3,496,647","25,510,246","251,242,297","31,563,669","4,760,807","590,778"
"96年 11月/ <b>總計</b>","184,501","196,770","86,364","149,487","94,478","142,497","24,967","20,472","23,834","63,437","22,305","26,221","18,732","33,687","10,711","17,634","5,573","16,969","22,016","16,280","10,148","844","70,068,453","150,442,645","39,303,037","35,861,121","33,656,631","99,988,629","2,709,974","11,968,095","4,200,347","29,181,334","5,128,131","40,656,504","5,518,785","3,806,936","417,288","707,713","252,131","3,935,164","45,282,854","1,329,865","475,559","34,562"
"96年 12月/ <b>總計</b>","184,590","196,736","86,319","149,474","94,365","142,635","24,937","20,504","23,844","63,373","22,319","26,274","18,695","33,702","10,695","17,617","5,582","17,004","22,016","16,264","10,145","839","666,195,610","2,207,731,309","527,257,850","522,931,549","382,529,866","651,666,001","37,004,599","149,733,604","90,428,608","182,177,260","36,321,553","247,630,124","36,384,987","49,071,516","9,320,235","27,170,559","3,988,347","26,946,296","262,546,598","32,717,255","5,166,538","953,140"

