"","營利事業家數及銷售額－第8次修訂",,單位：家、千元
"項目及地區別","新北市","臺北市","桃園市","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市","臺北市","桃園市","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"107年 1月/ <b>總計</b>","219,704","228,368","112,562","186,718","109,337","161,154","26,488","27,546","26,115","70,532","24,806","30,411","20,697","38,586","12,879","20,186","6,155","18,229","26,227","17,329","19,338","974","66,617,230","118,364,710","33,394,780","33,639,358","38,328,232","74,466,155","3,668,115","12,227,254","4,774,204","26,835,444","5,674,954","95,001,615","5,466,016","3,850,002","628,604","834,134","322,350","2,049,035","66,035,760","941,384","937,234","39,324"
"107年 2月/ <b>總計</b>","219,942","228,716","112,627","187,042","109,454","161,262","26,532","27,593","26,118","70,575","24,792","30,448","20,739","38,667","12,875","20,186","6,159","18,216","26,266","17,356","19,344","974","673,372,717","1,840,437,857","551,291,274","589,300,622","319,230,011","642,624,309","39,880,144","161,095,402","125,120,612","185,475,205","36,676,553","141,619,179","41,944,433","61,497,826","10,990,479","27,486,339","4,364,401","24,685,656","274,345,227","33,530,014","8,368,310","675,484"
"107年 3月/ <b>總計</b>","220,478","229,069","112,918","187,500","109,775","161,479","26,560","27,718","26,177","70,685","24,842","30,529","20,789","38,714","12,923","20,207","6,192","18,207","26,276","17,361","19,366","974","68,816,391","122,403,419","35,009,690","36,366,900","39,542,325","78,559,083","3,812,141","12,973,024","4,927,187","31,084,989","5,423,820","78,757,789","5,689,632","4,566,345","746,679","825,529","338,243","1,966,725","83,156,139","1,053,199","934,856","39,474"
"107年 4月/ <b>總計</b>","221,144","229,596","113,260","188,114","109,971","161,910","26,606","27,827","26,232","70,843","24,891","30,632","20,875","38,756","12,951","20,231","6,231","18,243","26,349","17,418","19,378","979","723,063,613","1,911,083,699","567,699,713","646,888,879","352,199,820","686,839,447","42,352,672","177,651,434","124,119,728","203,328,098","40,328,991","149,429,768","45,826,052","65,365,074","11,209,321","27,952,062","5,313,288","26,834,143","274,446,808","34,707,687","7,927,858","700,439"
"107年 5月/ <b>總計</b>","221,679","230,137","113,569","188,682","110,249","162,382","26,692","27,914","26,304","71,008","25,060","30,744","20,934","38,822","12,974","20,258","6,282","18,232","26,465","17,478","19,389","980","71,030,130","121,107,382","33,988,782","36,085,792","39,340,847","79,689,056","3,965,786","14,231,553","4,781,570","28,004,608","5,338,560","90,391,342","5,329,413","4,342,402","839,776","1,118,377","337,446","2,117,859","113,662,729","1,278,194","937,012","40,256"

