"","營利事業家數及銷售額－第7次修訂",,單位：家、千元
"項目及地區別","新北市","臺北市","桃園市(改制後)","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市","臺北市","桃園市(改制後)","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"102年 11月/ <b>0.總計</b>","203,150","212,431","100,051","167,293","100,689","151,969","25,683","23,935","24,666","66,615","23,199","28,187","19,034","35,811","11,742","18,543","5,719","17,407","24,711","16,133","18,346","850","52,399,173","117,327,825","44,529,383","34,879,978","31,143,071","64,377,678","4,051,301","13,085,026","3,728,931","29,969,552","6,638,703","102,383,319","4,696,358","3,635,806","638,447","933,961","308,159","1,946,999","53,105,854","1,328,947","866,440","31,870"
"102年 12月/ <b>0.總計</b>","203,305","212,893","100,171","167,719","100,826","152,166","25,692","23,969","24,667","66,656","23,242","28,218","19,060","35,867","11,727","18,575","5,691","17,374","24,732","16,142","18,492","848","757,211,601","2,395,442,376","568,757,341","644,622,783","375,642,576","691,290,119","47,346,370","160,180,261","140,112,119","222,119,979","44,716,974","191,493,537","40,441,816","67,572,456","12,349,407","31,169,292","4,248,316","29,815,643","281,372,414","37,752,345","9,724,850","967,794"
"103年 1月/ <b>0.總計</b>","202,974","212,717","100,040","167,533","100,624","151,637","25,642","23,956","24,631","66,562","23,231","28,138","19,008","35,780","11,730","18,555","5,670","17,352","24,769","16,098","18,511","841","54,969,256","118,222,712","39,042,349","34,637,949","31,734,566","70,876,797","4,048,486","12,912,884","3,426,135","30,580,025","6,043,852","119,276,807","4,647,663","3,875,259","556,460","771,265","285,823","2,380,690","40,089,522","1,380,523","880,610","38,717"
"103年 2月/ <b>0.總計</b>","203,019","212,776","100,130","167,766","100,676","151,564","25,672","23,999","24,615","66,581","23,243","28,096","19,019","35,843","11,707","18,549","5,683","17,353","24,771","16,089","18,573","837","608,926,856","1,773,314,016","481,000,330","534,983,775","321,644,188","589,461,810","39,670,036","141,946,876","115,977,140","176,078,199","36,214,592","160,268,066","37,455,716","56,487,674","11,555,732","27,320,983","3,615,438","24,529,174","218,710,371","34,202,463","7,110,786","590,180"
"103年 3月/ <b>0.總計</b>","203,436","213,013","100,420","168,152","100,859","151,742","25,731","24,083","24,658","66,618","23,277","28,072","19,032","35,927","11,719","18,557","5,708","17,357","24,792","16,118","18,663","840","54,489,698","128,974,155","47,273,766","36,027,515","36,206,943","65,495,489","3,154,061","13,339,837","3,528,605","31,312,443","4,964,835","112,838,834","5,019,163","3,883,755","525,519","456,568","291,304","2,187,973","57,944,715","1,383,075","874,461","32,490"
"103年 4月/ <b>0.總計</b>","204,072","213,614","100,815","168,652","100,992","152,035","25,782","24,180","24,710","66,707","23,319","28,072","19,061","35,998","11,757","18,593","5,714","17,384","24,875","16,128","18,748","832","678,816,450","1,875,397,955","548,836,023","603,335,723","359,284,939","638,102,158","43,278,788","156,573,751","132,290,982","200,441,109","40,852,901","162,519,198","40,699,626","59,834,160","12,310,445","27,189,076","4,210,762","25,764,650","243,128,948","35,340,368","7,288,132","666,251"
"103年 5月/ <b>0.總計</b>","204,491","214,056","101,060","168,926","101,157","152,134","25,834","24,235","24,767","66,752","23,219","28,047","19,107","35,909","11,774","18,634","5,729","17,422","24,920","16,136","18,797","838","58,146,024","137,244,508","49,952,097","38,250,431","37,309,211","70,744,323","3,821,012","12,657,025","10,089,171","31,775,760","5,352,476","96,773,465","4,819,950","3,946,892","592,234","982,024","325,210","1,951,547","70,495,825","1,347,502","882,003","32,481"
"103年 6月/ <b>0.總計</b>","204,938","214,378","101,320","169,358","101,414","152,377","25,866","24,310","24,828","66,890","23,276","28,094","19,123","35,925","11,815","18,668","5,748","17,473","24,919","16,172","18,853","830","690,243,983","1,941,704,774","565,901,076","608,715,491","362,059,634","653,512,632","43,223,515","158,741,090","132,483,623","198,986,756","41,049,118","168,896,079","40,610,431","62,014,613","12,029,561","28,870,808","4,771,169","26,512,296","253,523,758","36,267,009","8,448,263","757,263"
"103年 7月/ <b>0.總計</b>","205,327","214,661","101,561","169,776","101,647","152,453","25,929","24,380","24,907","66,973","23,310","28,147","19,131","36,014","11,827","18,664","5,746","17,498","24,975","16,177","18,885","835","57,336,379","128,179,490","47,474,833","36,320,029","37,900,952","70,782,142","3,896,090","13,529,933","3,609,770","31,479,250","5,021,047","110,279,632","4,990,744","4,024,238","598,198","854,063","274,522","2,134,629","72,991,978","1,353,451","895,831","34,067"
"103年 8月/ <b>0.總計</b>","205,796","214,928","101,841","170,241","101,898","152,616","25,994","24,517","24,913","67,009","23,329","28,186","19,175","36,048","11,858","18,660","5,738","17,527","25,044","16,217","18,927","836","704,230,519","1,937,719,240","564,598,973","630,114,069","368,776,613","667,057,917","44,988,317","168,467,322","138,199,962","204,205,254","43,441,813","167,265,349","41,801,712","63,770,534","12,965,809","31,259,580","5,310,174","27,730,760","257,621,740","37,566,034","8,442,197","765,894"
"103年 9月/ <b>0.總計</b>","206,123","215,280","102,097","170,507","102,100","152,648","26,030","24,586","24,919","67,115","23,356","28,253","19,220","36,044","11,895","18,670","5,727","17,562","25,040","16,229","18,956","837","57,098,428","123,964,061","42,638,580","35,873,529","32,842,093","71,881,149","3,522,615","16,091,645","3,429,807","26,206,506","8,860,113","88,933,647","4,990,078","3,895,925","580,035","773,702","315,330","1,953,840","75,969,531","899,257","890,546","32,341"
"103年 10月/ <b>0.總計</b>","206,626","215,882","102,393","171,064","102,356","152,931","26,033","24,679","24,984","67,237","23,413","28,352","19,293","36,097","11,917","18,690","5,711","17,597","25,113","16,256","18,971","838","714,058,170","2,011,482,641","562,180,938","634,299,736","367,809,385","664,150,714","44,907,185","169,421,637","137,712,217","202,231,524","46,365,122","169,893,812","42,663,140","62,274,032","12,674,059","30,920,462","4,475,854","28,860,666","273,667,225","37,036,294","8,536,266","735,458"
"103年 11月/ <b>0.總計</b>","207,072","216,382","102,607","171,433","102,558","153,228","26,074","24,787","25,006","67,316","23,430","28,423","19,339","36,162","11,953","18,776","5,727","17,624","25,180","16,275","18,971","839","56,441,957","116,741,142","42,186,474","33,919,566","31,531,522","63,184,003","3,853,275","14,223,383","3,665,422","26,662,095","9,474,812","80,821,119","4,828,812","3,922,629","586,248","803,787","288,432","1,845,209","69,511,055","1,305,174","900,070","32,509"
"103年 12月/ <b>0.總計</b>","207,340","216,839","102,829","171,750","102,774","153,471","26,112","24,819","25,040","67,346","23,481","28,467","19,354","36,209","11,975","18,841","5,715","17,626","25,219","16,289","19,003","844","776,796,820","2,517,885,808","593,787,825","667,622,560","387,994,499","716,878,205","47,451,121","170,940,757","152,088,210","241,706,444","45,850,380","151,343,036","43,097,389","64,581,081","14,528,229","31,872,633","4,433,126","28,985,411","341,745,029","37,772,341","9,563,266","850,930"
"104年 1月/ <b>0.總計</b>","207,453","216,841","102,964","171,810","102,882","153,348","26,106","24,808","25,028","67,279","23,433","28,466","19,371","36,243","12,012","18,850","5,694","17,610","25,240","16,290","19,023","843","55,987,553","115,681,150","37,553,348","38,192,962","44,389,421","64,788,790","3,527,711","14,327,210","3,515,668","25,157,014","7,256,426","65,050,908","4,913,157","3,595,634","548,699","778,126","286,018","1,986,985","58,783,756","1,150,599","898,423","32,310"
"104年 2月/ <b>0.總計</b>","207,677","217,148","103,066","172,013","103,005","153,497","26,145","24,863","25,047","67,308","23,486","28,489","19,396","36,293","12,014","18,869","5,705","17,591","25,294","16,289","19,042","851","629,973,891","1,806,643,601","487,845,388","555,690,307","311,391,639","570,267,606","39,320,505","145,942,268","122,164,775","175,243,077","37,650,390","129,095,841","38,525,039","55,870,643","12,851,518","28,388,797","3,601,743","23,862,411","243,984,874","32,379,714","8,114,196","543,379"
"104年 3月/ <b>0.總計</b>","208,075","217,447","103,380","172,368","103,143","153,644","26,208","24,928","25,080","67,425","23,516","28,559","19,441","36,391","12,040","18,904","5,731","17,616","25,300","16,294","19,112","856","62,002,256","136,631,658","45,586,865","36,631,221","46,962,224","66,990,897","3,762,987","12,765,407","3,575,812","28,177,464","6,280,779","77,105,509","5,327,718","4,126,078","590,639","808,786","313,221","2,513,573","80,602,202","1,294,851","902,097","32,609"
"104年 4月/ <b>0.總計</b>","208,768","217,962","103,662","173,103","103,415","153,997","26,273","25,093","25,156","67,541","23,582","28,623","19,480","36,466","12,091","18,945","5,776","17,707","25,395","16,334","19,089","854","675,741,220","1,895,581,818","544,135,200","608,050,697","342,292,833","622,143,128","40,732,080","159,945,507","127,849,324","192,702,906","39,703,997","146,669,604","40,647,246","58,466,989","12,653,224","26,431,953","4,121,128","24,403,730","256,213,447","33,378,724","7,365,805","497,468"
"104年 5月/ <b>0.總計</b>","209,235","218,417","103,999","173,568","103,782","154,350","26,296","25,169","25,230","67,631","23,624","28,646","19,532","36,514","12,116","19,015","5,813","17,716","25,452","16,374","19,081","854","50,350,881","116,247,450","41,209,625","34,519,087","40,150,940","68,003,323","4,232,624","11,760,479","3,578,689","25,033,172","6,012,861","82,128,621","5,198,142","3,795,798","563,987","964,961","292,847","2,597,353","73,532,651","979,641","923,872","32,325"
"104年 6月/ <b>0.總計</b>","209,694","218,869","104,314","174,195","104,005","154,477","26,371","25,269","25,279","67,741","23,669","28,688","19,556","36,623","12,169","19,066","5,809","17,740","25,519","16,414","19,099","857","676,384,917","1,859,886,878","514,909,751","596,480,821","335,878,525","617,303,806","41,906,557","151,503,076","129,448,980","189,114,025","38,984,253","144,115,926","39,162,754","58,146,152","13,144,548","28,616,204","4,650,945","25,042,123","248,840,611","32,671,369","8,421,657","661,446"
"104年 7月/ <b>0.總計</b>","209,842","219,133","104,606","174,531","104,173","154,618","26,403","25,353","25,305","67,862","23,685","28,746","19,590","36,700","12,228","19,130","5,816","17,751","25,534","16,441","19,124","859","55,237,635","119,765,569","41,490,115","36,058,211","41,008,115","60,174,781","3,955,838","12,851,919","3,813,660","27,061,608","7,175,370","69,927,662","5,633,486","4,092,853","629,412","776,174","301,068","2,450,403","78,840,486","954,618","902,443","32,380"
"104年 8月/ <b>0.總計</b>","210,366","219,662","104,852","175,058","104,473","154,925","26,474","25,494","25,338","68,013","23,758","28,770","19,655","36,822","12,267","19,207","5,828","17,822","25,575","16,468","19,124","863","688,056,158","1,904,090,623","523,875,822","606,470,211","337,339,052","619,130,446","42,319,875","158,581,614","129,112,560","187,332,236","42,465,095","125,720,706","40,360,630","58,296,455","12,574,531","30,548,614","4,686,962","26,348,779","265,874,401","33,629,465","7,532,354","678,541"
"104年 9月/ <b>0.總計</b>","210,782","219,863","105,205","175,389","104,675","154,603","26,555","25,549","25,322","68,053","23,771","28,790","19,723","36,856","12,302","19,293","5,842","17,900","25,605","16,490","19,117","866","54,502,757","119,645,783","40,356,878","34,310,258","40,446,787","60,677,009","3,990,984","13,049,781","3,692,056","24,404,867","8,483,496","65,915,995","5,262,698","3,942,548","583,635","779,253","302,195","2,121,984","74,756,198","956,639","896,534","32,501"
"104年 10月/ <b>0.總計</b>","211,140","220,392","105,564","175,908","104,926","154,765","26,611","25,584","25,363","68,186","23,841","28,852","19,779","36,942","12,351","19,362","5,831","17,906","25,584","16,549","19,125","869","691,613,273","1,891,286,577","514,329,409","593,829,140","330,438,525","592,483,822","41,116,698","163,723,913","126,432,550","186,212,535","42,047,909","134,922,528","40,210,316","57,893,947","12,146,461","28,809,027","4,531,952","26,322,241","271,225,107","33,467,708","9,001,896","746,039"
"104年 11月/ <b>0.總計</b>","211,538","220,754","105,818","176,415","105,016","154,986","26,684","25,671","25,401","68,315","23,901","28,918","19,806","36,973","12,393","19,355","5,841","17,917","25,600","16,603","19,135","878","52,714,153","110,185,843","40,455,316","31,307,658","37,242,514","53,744,177","4,048,210","12,359,419","4,899,600","23,091,912","6,116,099","65,250,102","4,838,822","3,552,616","653,577","803,305","316,619","2,310,939","71,817,287","902,564","906,366","32,928"
"104年 12月/ <b>0.總計</b>","211,807","220,966","105,835","176,750","105,097","155,258","26,696","25,742","25,439","68,333","23,918","28,946","19,843","37,038","12,414","19,397","5,849","17,919","25,635","16,628","19,140","878","787,309,323","2,513,610,423","570,926,116","659,103,321","364,970,913","675,409,773","46,834,179","171,613,016","140,394,552","222,463,924","42,105,890","144,064,066","44,533,803","64,421,903","13,917,366","32,100,157","5,092,223","28,234,507","290,608,858","35,228,023","10,725,713","996,812"
"105年 1月/ <b>0.總計</b>","211,929","221,078","106,001","176,845","105,209","155,295","26,713","25,796","25,440","68,306","23,934","28,982","19,868","37,068","12,425","19,438","5,855","17,918","25,618","16,624","19,140","880","53,816,892","122,676,056","35,238,939","31,475,883","35,297,421","55,772,578","3,548,697","12,190,306","4,515,163","23,248,248","4,082,103","59,047,528","4,656,412","3,673,793","594,152","876,896","297,067","2,041,603","54,087,985","901,334","913,197","33,015"
"105年 2月/ <b>0.總計</b>","212,092","221,119","106,004","177,040","105,238","155,302","26,742","25,820","25,433","68,308","23,953","28,996","19,876","37,082","12,443","19,419","5,862","17,909","25,619","16,642","19,137","883","608,541,681","1,726,823,798","458,528,904","517,459,918","283,218,785","515,081,289","38,226,288","140,793,038","107,411,538","161,381,286","33,425,719","110,775,573","36,396,793","52,575,549","12,813,462","26,165,976","3,621,686","22,777,629","219,027,789","29,617,025","7,838,950","550,185"
"105年 3月/ <b>0.總計</b>","212,402","221,323","106,203","177,352","105,248","155,489","26,748","25,872","25,453","68,411","23,995","29,045","19,887","37,101","12,486","19,449","5,878","17,902","25,614","16,651","19,158","880","59,215,013","123,772,485","42,779,277","34,182,358","40,054,336","62,295,566","3,976,273","13,186,773","4,992,021","25,865,690","5,444,868","63,044,850","5,313,495","3,887,899","635,587","850,053","292,203","2,927,597","72,693,696","989,451","897,198","33,075"
"105年 4月/ <b>0.總計</b>","212,997","221,928","106,586","177,791","105,300","155,715","26,779","25,990","25,513","68,549","24,009","29,121","19,909","37,182","12,539","19,514","5,919","17,930","25,655","16,692","19,179","880","667,062,096","1,856,764,395","502,917,389","582,824,400","317,292,836","585,071,692","40,219,725","162,669,760","117,690,682","182,960,217","37,096,038","123,021,845","40,630,012","56,729,219","12,113,430","25,958,298","4,420,419","25,553,187","240,235,423","31,368,515","7,715,554","607,832"
"105年 5月/ <b>0.總計</b>","213,414","222,303","106,894","178,187","105,528","156,005","26,841","26,047","25,506","68,601","24,053","29,155","19,920","37,206","12,546","19,710","5,930","17,956","25,691","16,717","19,199","890","56,100,095","111,001,741","40,352,073","31,713,612","35,300,491","72,303,941","4,709,571","12,192,865","4,843,414","23,511,629","5,278,609","64,143,216","4,921,214","3,953,771","699,034","1,030,189","306,131","1,854,712","79,646,924","1,025,456","1,036,832","33,482"
"105年 6月/ <b>0.總計</b>","213,848","222,603","107,188","178,630","105,759","156,299","26,884","26,107","25,542","68,693","24,100","29,246","19,925","37,310","12,576","19,750","5,957","17,965","25,715","16,743","19,203","897","685,084,977","1,857,566,366","516,300,229","598,654,109","328,859,678","610,248,324","40,802,501","160,199,243","124,549,354","187,000,735","38,651,895","127,633,997","41,082,774","59,236,016","12,293,572","27,646,491","5,022,901","24,974,131","257,166,501","32,489,713","8,888,169","768,475"
"105年 7月/ <b>0.總計</b>","214,157","222,718","107,550","178,963","105,908","156,554","26,884","26,201","25,557","68,760","24,168","29,339","19,930","37,402","12,560","19,785","5,952","17,994","25,783","16,782","19,205","902","56,016,626","107,931,847","40,118,996","31,592,420","35,493,587","64,340,420","3,974,445","12,377,614","5,041,580","25,797,471","5,270,155","65,674,676","4,938,638","3,711,036","808,175","840,649","343,315","1,805,074","87,125,014","1,148,493","909,301","34,335"
"105年 8月/ <b>0.總計</b>","214,544","223,168","107,805","179,552","106,060","156,834","26,916","26,278","25,637","68,879","24,218","29,404","19,973","37,488","12,579","19,798","5,954","18,033","25,760","16,831","19,206","907","694,713,861","1,832,233,588","534,955,098","609,145,203","336,691,382","657,695,213","42,901,386","167,403,147","127,076,695","190,465,504","40,624,226","122,654,770","42,045,526","59,983,075","11,723,920","29,221,530","5,174,572","27,371,625","258,227,792","34,097,312","9,083,493","766,452"
"105年 9月/ <b>0.總計</b>","214,870","223,578","107,989","179,868","106,230","156,938","26,915","26,339","25,653","68,917","24,214","29,426","19,991","37,534","12,594","19,830","5,938","18,052","25,809","16,846","19,211","909","58,186,447","107,558,026","41,523,370","34,259,845","34,229,976","59,262,714","4,876,736","12,471,381","4,381,596","25,556,765","6,843,288","59,696,883","4,725,049","3,787,232","655,841","825,960","407,560","2,061,670","91,375,812","988,047","904,052","34,679"
"105年 10月/ <b>0.總計</b>","215,275","224,066","108,275","180,407","106,444","157,105","26,958","26,426","25,711","69,023","24,258","29,486","20,029","37,596","12,611","19,851","5,929","18,076","25,900","16,867","19,200","913","683,152,711","1,805,724,112","521,059,866","593,172,660","322,524,966","607,863,704","40,209,033","162,046,733","129,298,869","181,147,990","39,786,314","128,574,898","40,176,891","58,705,169","10,568,279","26,270,768","4,309,794","25,653,348","267,315,240","31,855,034","7,479,806","795,161"
"105年 11月/ <b>0.總計</b>","215,587","224,456","108,618","180,779","106,675","157,352","26,997","26,519","25,755","69,149","24,296","29,568","20,068","37,625","12,595","19,876","5,932","18,099","25,915","16,913","19,242","923","57,131,446","106,378,221","43,100,547","32,846,427","35,524,483","70,653,764","3,379,517","12,393,465","5,122,888","24,383,578","6,904,840","67,121,775","5,376,138","4,462,042","722,252","851,383","314,077","1,945,832","106,570,968","968,684","945,832","34,666"
"105年 12月/ <b>0.總計</b>","215,695","224,499","108,835","181,143","106,881","157,693","26,999","26,592","25,788","69,215","24,325","29,613","20,102","37,682","12,651","19,904","5,940","18,138","25,901","16,936","19,245","924","803,783,915","2,455,153,100","593,893,757","676,226,587","387,383,994","768,396,784","44,855,961","183,162,739","141,435,127","243,441,897","43,945,020","157,516,042","45,680,566","68,229,748","12,806,340","31,268,446","4,991,586","31,005,765","334,445,812","36,838,596","9,623,912","1,187,493"
"106年 1月/ <b>0.總計</b>","215,585","224,110","108,959","181,010","106,889","157,465","26,962","26,629","25,734","69,111","24,322","29,637","20,074","37,695","12,678","19,864","5,922","18,123","25,868","16,944","19,238","924","52,855,782","104,981,204","39,826,020","31,942,957","33,628,678","66,503,047","3,703,374","11,126,811","4,441,386","23,543,763","5,758,492","80,802,879","4,803,376","3,655,375","645,868","807,573","308,620","1,845,511","62,116,072","956,956","922,239","41,593"
"106年 2月/ <b>0.總計</b>","215,941","224,237","109,225","181,351","107,033","157,726","26,975","26,648","25,749","69,170","24,345","29,676","20,105","37,717","12,674","19,880","5,926","18,136","25,868","16,970","19,252","916","625,846,763","1,713,681,075","483,605,013","554,936,133","304,548,936","610,766,551","37,852,034","148,210,539","124,879,836","171,381,901","36,867,256","129,786,643","38,774,307","56,923,024","11,192,559","25,562,708","3,881,949","23,868,240","241,567,105","31,055,170","7,781,812","529,461"
"106年 3月/ <b>0.總計</b>","216,494","224,476","109,617","181,868","107,314","158,120","27,024","26,754","25,781","69,304","24,403","29,742","20,178","37,852","12,700","19,919","5,966","18,152","25,939","17,044","19,274","921","62,934,539","121,667,399","41,102,495","35,368,001","38,655,223","75,301,744","3,705,010","12,683,217","4,871,983","27,349,214","6,242,029","74,374,959","5,526,359","4,462,576","671,912","830,526","324,205","2,015,196","91,033,604","1,142,427","915,154","36,331"
"106年 4月/ <b>0.總計</b>","217,399","225,095","110,096","182,404","107,605","158,585","27,098","26,898","25,850","69,456","24,497","29,798","20,212","37,974","12,721","19,946","6,011","18,184","26,009","17,075","19,281","934","681,194,299","1,835,337,934","542,266,339","610,798,797","326,707,983","645,903,905","39,400,668","168,598,457","130,593,369","191,876,718","39,788,017","123,222,747","42,430,415","59,808,364","10,544,986","27,300,038","4,644,401","25,725,981","249,749,513","31,643,654","8,161,886","673,001"
"106年 5月/ <b>0.總計</b>","217,774","225,482","110,503","182,936","107,779","158,837","27,155","27,020","25,875","69,595","24,485","29,877","20,280","38,068","12,761","19,968","6,039","18,186","26,066","17,091","19,281","937","56,092,897","112,492,475","35,820,899","30,967,967","38,583,086","66,709,456","3,556,471","12,051,708","4,419,972","24,032,389","6,062,518","67,716,966","5,730,429","3,999,896","782,958","895,231","310,323","2,144,602","76,813,604","969,711","911,540","37,365"
"106年 6月/ <b>0.總計</b>","218,121","226,054","110,865","183,530","107,980","159,114","27,152","27,078","25,917","69,736","24,509","29,972","20,331","38,164","12,771","19,999","6,047","18,168","26,080","17,124","19,284","944","724,222,962","1,875,918,267","543,935,639","625,664,972","335,308,319","658,322,322","40,745,870","165,252,985","131,856,100","195,839,958","40,259,897","131,822,883","43,702,928","61,503,154","11,274,052","29,821,584","5,457,295","25,666,947","261,957,806","32,610,130","9,371,546","781,252"
"106年 7月/ <b>0.總計</b>","218,003","226,284","111,254","183,973","108,072","159,372","27,175","27,192","25,917","69,845","24,553","30,033","20,354","38,232","12,786","20,022","6,062","18,162","26,160","17,142","19,293","945","65,451,003","113,843,924","31,834,580","34,085,482","35,278,319","66,459,925","3,732,255","11,770,608","4,456,343","24,745,250","5,432,369","67,006,466","5,365,171","3,919,962","653,182","849,443","321,047","1,918,165","91,425,144","1,010,814","952,467","37,862"
"106年 8月/ <b>0.總計</b>","218,456","226,980","111,503","184,638","108,376","159,807","27,175","27,248","25,977","70,040","24,615","30,114","20,401","38,341","12,810","20,033","6,083","18,178","26,197","17,183","19,280","945","731,027,112","1,885,482,583","560,680,996","647,190,764","351,985,417","677,377,976","43,016,010","174,862,340","131,166,094","206,230,289","42,729,423","139,676,466","45,407,279","64,588,627","11,877,576","30,828,895","5,703,392","27,018,996","275,123,018","34,555,092","8,228,639","806,685"
"106年 9月/ <b>0.總計</b>","218,676","227,282","111,536","185,039","108,604","160,094","27,134","27,252","25,999","70,111","24,679","30,195","20,475","38,371","12,835","20,052","6,102","18,229","26,255","17,206","19,308","951","66,543,462","124,550,146","35,088,008","34,696,537","37,844,475","71,770,265","3,575,930","13,156,491","4,754,200","25,782,105","6,354,502","71,603,271","5,796,831","4,009,079","646,748","859,897","356,379","2,131,614","96,116,182","1,082,429","921,120","38,215"
