"","營利事業家數及銷售額－第7次修訂",,單位：家、千元
"項目及地區別","新北市","臺北市","桃園市(改制後)","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市","臺北市","桃園市(改制後)","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"102年 1月/ <b>0.總計</b>","198,497","208,301","96,889","163,189","98,765","149,450","25,956","23,167","24,386","65,730","22,962","27,611","18,817","35,031","11,476","18,240","5,799","17,131","24,119","15,910","16,377","826","52,236,975","120,826,331","39,210,151","33,809,600","34,599,552","64,237,431","3,284,256","12,097,664","3,000,617","29,071,580","4,000,805","107,282,082","4,621,224","3,706,278","544,348","744,826","294,131","2,020,238","38,929,258","1,263,199","778,369","33,032"
"102年 2月/ <b>0.總計</b>","198,668","208,440","97,053","163,351","98,767","149,485","25,959","23,208","24,369","65,754","22,947","27,596","18,834","35,056","11,487","18,225","5,768","17,110","24,140","15,900","16,761","828","578,193,195","1,728,447,139","470,403,714","505,380,333","312,172,664","570,432,210","38,491,119","135,942,642","118,424,520","178,749,271","33,987,765","159,621,823","39,100,485","55,205,664","10,845,684","25,632,128","3,434,314","24,872,005","212,901,066","33,610,098","8,007,643","590,530"
"102年 3月/ <b>0.總計</b>","198,906","208,718","97,219","163,631","98,791","149,635","25,996","23,297","24,387","65,795","22,995","27,649","18,873","35,104","11,487","18,236","5,737","17,160","24,164","15,912","17,215","825","58,277,642","120,856,734","39,927,635","35,251,279","34,337,335","66,570,766","3,485,034","13,857,230","3,411,854","34,305,388","4,124,805","102,646,567","4,922,628","3,783,111","577,111","741,743","305,043","1,879,293","53,993,347","1,198,505","856,927","32,715"
"102年 4月/ <b>0.總計</b>","199,516","209,208","97,715","164,084","98,960","149,927","26,096","23,389","24,431","65,894","23,006","27,715","18,886","35,173","11,530","18,267","5,753","17,175","24,253","15,907","17,486","831","625,873,443","1,781,507,775","534,310,441","562,123,927","344,052,329","622,428,169","40,594,217","155,669,541","133,836,365","190,651,296","36,277,285","154,492,954","39,051,655","56,849,982","10,902,182","26,592,533","3,859,671","25,303,858","246,748,238","35,775,903","7,607,335","655,361"
"102年 5月/ <b>0.總計</b>","200,079","209,687","98,029","164,483","99,207","150,089","26,116","23,440","24,441","65,999","23,026","27,806","18,880","35,213","11,558","18,293","5,780","17,173","24,353","15,905","17,639","831","55,132,814","127,130,254","35,792,463","38,312,614","34,862,358","75,657,160","3,563,131","13,061,256","3,585,777","30,849,226","4,150,849","90,071,869","4,765,086","3,708,045","1,032,779","726,475","288,097","2,286,179","60,347,886","1,317,523","869,932","32,396"
"102年 6月/ <b>0.總計</b>","200,499","209,923","98,366","164,906","99,426","150,266","26,168","23,523","24,438","66,089","23,037","27,861","18,922","35,318","11,575","18,333","5,768","17,202","24,393","15,939","17,743","842","647,022,103","1,811,083,111","555,801,458","571,986,190","342,104,673","606,112,934","41,648,870","154,660,284","123,101,195","188,062,150","37,045,725","152,702,314","39,757,855","57,063,437","11,030,359","28,160,289","4,541,044","26,358,863","253,789,990","34,549,716","7,634,522","726,391"
"102年 7月/ <b>0.總計</b>","200,624","210,022","98,581","165,225","99,537","150,383","26,197","23,588","24,462","66,148","23,037","27,947","18,910","35,378","11,616","18,333","5,775","17,218","24,447","15,944","17,828","841","53,312,530","120,296,783","44,269,909","38,404,050","32,855,830","63,191,726","3,492,344","14,397,022","3,265,018","31,420,466","4,090,192","97,256,287","4,945,720","4,032,486","536,915","740,922","289,965","1,918,989","62,445,710","1,374,601","887,002","32,333"
"102年 8月/ <b>0.總計</b>","201,084","210,436","98,858","165,603","99,813","150,575","26,255","23,665","24,515","66,276","23,047","27,975","18,934","35,506","11,640","18,382","5,788","17,240","24,476","15,979","17,906","843","671,867,189","1,830,794,819","558,576,305","597,822,672","352,851,363","668,716,090","44,478,522","154,917,635","126,258,672","196,000,612","39,580,155","172,739,458","40,268,512","60,791,552","11,674,270","30,649,185","5,141,298","27,523,197","250,157,300","35,440,715","8,001,386","717,887"
"102年 9月/ <b>0.總計</b>","201,496","210,800","99,171","165,884","100,021","150,808","26,312","23,713","24,538","66,321","23,074","28,020","18,975","35,601","11,653","18,366","5,800","17,286","24,524","16,022","17,957","849","51,971,814","119,802,092","44,413,575","35,251,298","34,284,872","65,215,938","3,734,765","12,511,072","3,039,477","30,027,735","6,411,731","95,995,574","4,597,500","3,987,830","531,398","754,090","290,010","1,911,330","63,487,131","1,278,903","843,261","32,320"
"102年 10月/ <b>0.總計</b>","202,471","211,782","99,710","166,602","100,425","151,576","25,613","23,842","24,606","66,500","23,171","28,093","18,976","35,724","11,728","18,484","5,778","17,365","24,643","16,083","18,111","846","683,645,437","1,879,049,981","534,266,511","589,665,217","345,962,279","631,006,616","42,767,156","155,151,150","122,046,345","194,423,975","41,548,306","167,248,321","39,931,677","58,682,675","11,423,793","29,053,104","4,293,260","26,641,876","258,539,159","35,439,288","7,833,940","813,807"
